No,Title,Link,Description
1,AI狂騒曲の功罪,http://www3.keizaireport.com/report.php/RID/592103/?rss,発表元:世界経済評論IMPACT、掲載日:2024-08-27
2,技術トレンド／展望：CNAPPとは？～複雑化するパブリッククラウドのセキュリティ対策,http://www3.keizaireport.com/report.php/RID/592108/?rss,発表元:NTTデータ、掲載日:2024-08-27
3,ハノーファメッセ2024報告　第2のインターネット：グローバルなデータ連携がもたらすイノベーション：藤野直明の視点,http://www3.keizaireport.com/report.php/RID/592145/?rss,発表元:野村総合研究所、掲載日:2024-08-27
4,避けられないシステム障害～備えのカギはシステムの回復性（レジリエンシー）と可観測性（オブザーバビリティ）：NRI Digital Consulting Edge,http://www3.keizaireport.com/report.php/RID/592146/?rss,発表元:野村総合研究所、掲載日:2024-08-27
5,サイバーセキュリティ主要課題2024：金融機関編,http://www3.keizaireport.com/report.php/RID/592172/?rss,発表元:KPMG、掲載日:2024-08-27
6,2024年8月「不正アクセスと情報セキュリティ対策に対するアンケート」調査～「不正アクセスを受けた」企業は約1割　課題は「従業員の意識改革・リテラシー向上」：TSRデータインサイト,http://www3.keizaireport.com/report.php/RID/591925/?rss,発表元:東京商工リサーチ、掲載日:2024-08-24
7,高速進化するAIがもたらす未来 第10回 企業を取り巻く法規制へのAI技術を用いた課題解決アプローチと展望 Part1,http://www3.keizaireport.com/report.php/RID/591948/?rss,発表元:KPMG、掲載日:2024-08-24
8,高速進化するAIがもたらす未来 第11回 企業を取り巻く法規制へのAI技術を用いた課題解決アプローチと展望 Part2,http://www3.keizaireport.com/report.php/RID/591949/?rss,発表元:KPMG、掲載日:2024-08-24
9,高速進化するAIがもたらす未来 第12回 企業を取り巻く法規制へのAI技術を用いた課題解決アプローチと展望 Part3,http://www3.keizaireport.com/report.php/RID/591950/?rss,発表元:KPMG、掲載日:2024-08-24
10,IPA NEWS Vol.68（2024年9月号）～特集：「デジタルスキル標準」の賢い使い方を徹底解剖！ DX先進企業のデジタル人材育成法,http://www3.keizaireport.com/report.php/RID/591971/?rss,発表元:情報処理推進機構、掲載日:2024-08-24
11,講演レポート「AI規制について～欧米の動向と日本の状況」：JIPDECレポート,http://www3.keizaireport.com/report.php/RID/592006/?rss,発表元:日本情報処理開発協会、掲載日:2024-08-24
12,生成AIとの付き合い方～名刺管理アプリの経験から：研究員の眼,http://www3.keizaireport.com/report.php/RID/591805/?rss,発表元:ニッセイ基礎研究所、掲載日:2024-08-23
13,デジタルツインに関する国内企業ユーザー調査結果を発表～高い利用意向、複雑な製品や機械に適用～,http://www3.keizaireport.com/report.php/RID/591866/?rss,発表元:IDC Japan、掲載日:2024-08-23
14,気象データのビジネス活用セミナー（データ解説編）の講演資料・動画,http://www3.keizaireport.com/report.php/RID/591879/?rss,発表元:気象ビジネス推進コンソーシアム、掲載日:2024-08-23
15,JADMA NEWS 第400号～特集：通販におけるAI活用の可能性,http://www3.keizaireport.com/report.php/RID/591886/?rss,発表元:日本通信販売協会、掲載日:2024-08-23
16,製造DXレポート 第1回 日本のスマートファクトリー現状調査 ～始動10年を目前に見えてきた課題～,http://www3.keizaireport.com/report.php/RID/591720/?rss,発表元:アビームコンサルティング、掲載日:2024-08-22
17,AIと著作権に関するチェックリスト＆ガイダンス,http://www3.keizaireport.com/report.php/RID/591748/?rss,発表元:文化庁、掲載日:2024-08-22
18,DXの視点『御礼メールAIがもたらすビジネス変革』,http://www3.keizaireport.com/report.php/RID/591546/?rss,発表元:第一生命経済研究所、掲載日:2024-08-21
19,生成AIの経理財務業務での活用（１） 生成AIの特徴と今取り組むべきこと：データドリブン経営,http://www3.keizaireport.com/report.php/RID/591616/?rss,発表元:PwC Japan、掲載日:2024-08-21
20,業界トレンド／展望：CX変革を実現する『カスタマージャーニーマネジメント』,http://www3.keizaireport.com/report.php/RID/591317/?rss,発表元:NTTデータ、掲載日:2024-08-17
21,【注目検索キーワード】カーボン・クレジット,http://search.keizaireport.com/search.php/-/keyword=カーボン・クレジット/?rss,カーボン・クレジット
